journey_uid,truck_plate,normalized_plate,final_status,final_status_label,executive_bucket,executive_bucket_label,executive_anomaly_reason,event_count_front,device_sequence_front,sector_sequence_front,logical_sequence_front,ingreso_frontal_reference,ingreso_frontal_event_hits_on_journey,has_ingreso_frontal,has_operational_entry,entry_source,has_operational_exit,exit_source,has_strong_defining_point,has_logical_egreso,rear_only_excluded,rear_events_removed,preliminary_code,expected_points_count,matched_points_count,missing_points_count,reliability_score,reliability_explanation,confidence_level,refinement_note,data_quality_flag,matrix_final_status,executive_status,executive_reason,valid_detail,matrix_reason,sequence_respected,coverage_percent,has_strong_point,enabled_for_classification,sequence_configured,matrix_missing_points,matched_circuit_code,executive_circuit_code,executive_circuit_label,technical_matched_circuit_code,matrix_confidence,final_status_legacy,committee_group,committee_reason,operational_variation_type,analysis_scope,strong_point_source,show_in_committee,show_as_exact_circuit,candidate_circuits,missing_key_cameras,anomaly_origin_plant,anomaly_leg,matched_sequence_name,matched_variation_name,operationalAlertCount,hasInvalidRoute,hasInvalidJourneyStart,operationalAlertCodes,firstOperationalAlertAt,operationalAlertSectors,possibleSystemCutReason
bb723e52-fbaf-421b-b8c8-194713378cdf__cycle_1,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,5,RicVolcable1>RicVolcable2>RicVolcable1>RicVolcable2>RicVolcable1,2-S9>2-S9>2-S9>2-S9>2-S9,VOLCABLE,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,false,sin_ingreso,false,sin_egreso,true,false,false,false,CIRCUITO_VOLCABLE_1_2,7,1,6,14.3,"Coinciden 1 de 7 puntos esperados. Faltan ingreso, preingreso, calada, balanza ingreso, balanza egreso, egreso.",baja,incompleto_revision+punto_fuerte,missing_ingreso_frontal,INCOMPLETO,INCOMPLETO,SECUENCIA_NO_CONCLUYENTE,,SECUENCIA_NO_CONCLUYENTE,false,67,true,true,true,INGRESO|PREINGRESO|CALADA|BALANZA_INGRESO|BALANZA_EGRESO|EGRESO,R6,R6,Recepción Volcable 2,CIRCUITO_VOLCABLE_1_2,14.3,incompleto_revision,ANOMALIAS,JOURNEY_INCOMPLETO,,RICARDONE,RICARDONE,true,false,R6,,UNKNOWN,UNKNOWN,,,0,false,false,,,,NONE
be107fa1-783c-4624-aee1-7352ac36b03c,,,incompleto_revision,Incompleto en revisión,COMPLETO,Completo,,6,RicIngCamFrente>RicPreIngInFr>RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S7,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,ingreso_y_preingreso,true,egreso,true,true,false,false,CIRCUITO_SAN_LORENZO,4,4,0,100,Coinciden 4 de 4 puntos esperados del circuito.,alta,ok,missing_ingreso_frontal,INCOMPLETO,VALIDO,SECUENCIA_OPERATIVA_RECONSTRUIDA,,SECUENCIA_NO_CONCLUYENTE,false,80,true,true,true,SL_BALANZA_INGRESO|SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,54.5,incompleto_revision,COMPLETOS,SECUENCIA_OPERATIVA_RECONSTRUIDA,,MIXTO,SAN_LORENZO,true,false,R7,,UNKNOWN,UNKNOWN,,,0,false,false,,,,NONE
ae8a7756-bbff-45b6-ba44-62a05553969c,,,circuito_probable,Probable,ANOMALO,Anómalo,INVALID_ROUTE_ALERT,3,RicIngCamFrente>RicPreIngInFr>RicEgrCamFrente,2-S0>2-S1>2-S3,INGRESO>PREINGRESO>EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,ingreso_y_preingreso,true,egreso,false,true,false,false,CIRCUITO_SAN_LORENZO,4,3,1,75,Coinciden 3 de 4 puntos esperados. Falta calada.,media,circuito_probable,missing_ingreso_frontal,DEDUCIDO,VALIDO,RUTA_RIC_SAN_LORENZO_DEDUCIDA,DEDUCIDO,SECUENCIA_PARCIAL_CON_HUECOS,false,80,true,true,true,CALADA,R7,R7,Ricardone → San Lorenzo,CIRCUITO_SAN_LORENZO,75,incompleto_revision,COMPLETOS,RUTA_RIC_SAN_LORENZO_DEDUCIDA,,MIXTO,RICARDONE,true,false,R7,,UNKNOWN,UNKNOWN,,,1,true,false,INVALID_ROUTE,2026-06-22T05:44:27.135786-03:00,2-S3,INVALID_ROUTE_DURING_JOURNEY
16a33a85-61fd-42e9-846b-d567c5c50a50__cycle_1,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,9,RicVolcable2>RicVolcable1>RicVolcable1>RicVolcable1>RicVolcable2>RicVolcable1>RicVolcable1>RicVolcable1>RicVolcable1,2-S9>2-S9>2-S9>2-S9>2-S9>2-S9>2-S9>2-S9>2-S9,VOLCABLE,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,false,sin_ingreso,false,sin_egreso,true,false,false,false,CIRCUITO_VOLCABLE_1_2,7,1,6,14.3,"Coinciden 1 de 7 puntos esperados. Faltan ingreso, preingreso, calada, balanza ingreso, balanza egreso, egreso.",baja,incompleto_revision+punto_fuerte,missing_ingreso_frontal,INCOMPLETO,INCOMPLETO,SECUENCIA_NO_CONCLUYENTE,,SECUENCIA_NO_CONCLUYENTE,false,67,true,true,true,INGRESO|PREINGRESO|CALADA|BALANZA_INGRESO|BALANZA_EGRESO|EGRESO,R6,R6,Recepción Volcable 2,CIRCUITO_VOLCABLE_1_2,14.3,incompleto_revision,ANOMALIAS,JOURNEY_INCOMPLETO,,RICARDONE,RICARDONE,true,false,R6,,UNKNOWN,UNKNOWN,,,0,false,false,,,,NONE
059e04cc-5e1d-40d8-bf2d-34535569a62e,,,incompleto_revision,Incompleto en revisión,ANOMALO,Anómalo,INVALID_ROUTE_ALERT,6,RicIngCamFrente>RicPreIngInFr>RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S7,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,ingreso_y_preingreso,true,egreso,true,true,false,false,CIRCUITO_SAN_LORENZO,4,4,0,100,Coinciden 4 de 4 puntos esperados del circuito.,alta,ok,missing_ingreso_frontal,INCOMPLETO,VALIDO,SECUENCIA_OPERATIVA_RECONSTRUIDA,,SECUENCIA_NO_CONCLUYENTE,false,80,true,true,true,SL_BALANZA_INGRESO|SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,54.5,incompleto_revision,COMPLETOS,SECUENCIA_OPERATIVA_RECONSTRUIDA,,MIXTO,SAN_LORENZO,true,false,R7,,UNKNOWN,UNKNOWN,,,1,true,false,INVALID_ROUTE,2026-06-22T08:24:56.292963-03:00,1-S7,INVALID_ROUTE_DURING_JOURNEY
4b18e6ec-269d-4e0f-af37-7bbe3c94a235__cycle_1,,,incompleto_revision,Incompleto en revisión,COMPLETO,Completo,,6,RicIngCamFrente>RicPreIngInFr>RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S7,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,ingreso_y_preingreso,true,egreso,true,true,false,false,CIRCUITO_SAN_LORENZO,4,4,0,100,Coinciden 4 de 4 puntos esperados del circuito.,alta,ok,missing_ingreso_frontal,INCOMPLETO,VALIDO,SECUENCIA_OPERATIVA_RECONSTRUIDA,,SECUENCIA_NO_CONCLUYENTE,false,80,true,true,true,SL_BALANZA_INGRESO|SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,54.5,incompleto_revision,COMPLETOS,SECUENCIA_OPERATIVA_RECONSTRUIDA,,MIXTO,SAN_LORENZO,true,false,R7,,UNKNOWN,UNKNOWN,,,0,false,false,,,,NONE
42871225-5eb1-47f3-9fc3-7181afd7c154,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,9,RicCal05>RicCal05>RicCal05>RicCal05>RicCal05>RicCal05>RicCal05>RicCal05>RicEgrCamFrente,2-S2>2-S2>2-S2>2-S2>2-S2>2-S2>2-S2>2-S2>2-S3,CALADA>EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,false,sin_ingreso,true,egreso,false,true,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,6,2,4,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",muy_baja,circuito_probable_sin_ingreso,missing_ingreso_frontal,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,SECUENCIA_NO_CONCLUYENTE,false,0,false,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,33.3,incompleto_revision,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,,true,false,SIN_PUNTO,,UNKNOWN,UNKNOWN,,,1,true,false,INVALID_ROUTE,2026-06-22T04:55:05.229047-03:00,2-S2,INVALID_ROUTE_DURING_JOURNEY
ece33f1b-a40b-440f-89c7-c1b2c9ec7c59,,,incompleto_revision,Incompleto en revisión,DEDUCIDO,Deducido,,4,RicPreIngInFr>RicCal06>SLZIngCamFrente>SLZSalidaC1Fte,2-S1>2-S2>1-S0>1-S7,PREINGRESO>CALADA>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,preingreso,false,sin_egreso,true,false,false,false,CIRCUITO_SAN_LORENZO,4,2,2,50,"Coinciden 2 de 4 puntos esperados. Faltan ingreso, egreso.",media,circuito_probable_sin_egreso+punto_fuerte,missing_ingreso_frontal,INCOMPLETO,VALIDO,CIERRE_POR_INGRESO_SLZ,,SECUENCIA_NO_CONCLUYENTE,false,80,true,true,true,INGRESO|EGRESO|SL_BALANZA_INGRESO|SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,36.4,incompleto_revision,COMPLETOS,RUTA_RIC_SAN_LORENZO_COMPLETA,,MIXTO,SAN_LORENZO,true,false,R7,,UNKNOWN,UNKNOWN,,,0,false,false,,,,NONE
09abdc94-51f0-46cd-9182-ab400da59575,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,4,RicCal06>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S2>2-S3>1-S0>1-S7,CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,false,sin_ingreso,true,egreso,true,true,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,6,2,4,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",baja,circuito_probable_sin_ingreso+punto_fuerte,missing_ingreso_frontal,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,SECUENCIA_NO_CONCLUYENTE,false,0,true,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,33.3,incompleto_revision,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,SAN_LORENZO,true,false,SIN_PUNTO,,UNKNOWN,UNKNOWN,,,1,true,false,INVALID_ROUTE,2026-06-22T06:02:06.099084-03:00,1-S7,INVALID_ROUTE_DURING_JOURNEY
83d7a9bc-cc1b-4842-8550-4af5c85dca67,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,2,RicCal05>RicEgrCamFrente,2-S2>2-S3,CALADA>EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,false,sin_ingreso,true,egreso,false,true,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,6,2,4,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",muy_baja,circuito_probable_sin_ingreso,missing_ingreso_frontal,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,EVENTOS_INSUFICIENTES,false,0,false,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,33.3,incompleto_revision,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,,true,false,SIN_PUNTO,,UNKNOWN,UNKNOWN,,,2,true,true,INVALID_JOURNEY_START|INVALID_ROUTE,2026-06-22T02:22:20.720394-03:00,2-S1,INVALID_JOURNEY_START_AT_NON_ENTRY_SECTOR
6f591011-f692-4335-88e6-ba6d191a5614,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,2,RicCal06>RicEgrCamFrente,2-S2>2-S3,CALADA>EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,false,sin_ingreso,true,egreso,false,true,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,6,2,4,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",muy_baja,circuito_probable_sin_ingreso,missing_ingreso_frontal,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,EVENTOS_INSUFICIENTES,false,0,false,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,33.3,incompleto_revision,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,,true,false,SIN_PUNTO,,UNKNOWN,UNKNOWN,,,0,false,false,,,,NONE
c16ab023-cd81-40e2-b454-411faefa4a5c__cycle_1,,,incompleto_revision,Incompleto en revisión,COMPLETO,Completo,,6,RicIngCamFrente>RicPreIngInFr>RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S7,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,ingreso_y_preingreso,true,egreso,true,true,false,false,CIRCUITO_SAN_LORENZO,4,4,0,100,Coinciden 4 de 4 puntos esperados del circuito.,alta,ok,missing_ingreso_frontal,INCOMPLETO,VALIDO,SECUENCIA_OPERATIVA_RECONSTRUIDA,,SECUENCIA_NO_CONCLUYENTE,false,80,true,true,true,SL_BALANZA_INGRESO|SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,54.5,incompleto_revision,COMPLETOS,SECUENCIA_OPERATIVA_RECONSTRUIDA,,MIXTO,SAN_LORENZO,true,false,R7,,UNKNOWN,UNKNOWN,,,0,false,false,,,,NONE
4b223535-fb02-4779-9ca1-342b3cb47574__cycle_1,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,5,RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte>SLZSalidaC1Fte,2-S2>2-S3>1-S0>1-S7>1-S7,CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,false,sin_ingreso,true,egreso,true,true,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,6,2,4,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",baja,circuito_probable_sin_ingreso+punto_fuerte,missing_ingreso_frontal,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,SECUENCIA_NO_CONCLUYENTE,false,0,true,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,33.3,incompleto_revision,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,SAN_LORENZO,true,false,SIN_PUNTO,,UNKNOWN,UNKNOWN,,,0,false,false,,,,NONE
76371de7-4769-4803-a6c4-7fe1bc954155,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,2,RicCal06>RicEgrCamFrente,2-S2>2-S3,CALADA>EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,false,sin_ingreso,true,egreso,false,true,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,6,2,4,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",muy_baja,circuito_probable_sin_ingreso,missing_ingreso_frontal,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,EVENTOS_INSUFICIENTES,false,0,false,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,33.3,incompleto_revision,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,,true,false,SIN_PUNTO,,UNKNOWN,UNKNOWN,,,0,false,false,,,,NONE
f5a785a0-c030-4a65-8a60-8c0649d98a24,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,4,RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S2>2-S3>1-S0>1-S7,CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,false,sin_ingreso,true,egreso,true,true,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,6,2,4,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",baja,circuito_probable_sin_ingreso+punto_fuerte,missing_ingreso_frontal,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,SECUENCIA_NO_CONCLUYENTE,false,0,true,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,33.3,incompleto_revision,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,SAN_LORENZO,true,false,SIN_PUNTO,,UNKNOWN,UNKNOWN,,,0,false,false,,,,NONE
4179f577-63ed-477b-855a-fb8597b15b3d,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,5,RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZBalIngFte>SLZSalidaC1Fte,2-S2>2-S3>1-S0>1-S1>1-S7,CALADA>EGRESO>SL_INGRESO>SL_BALANZA_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,false,sin_ingreso,true,egreso,true,true,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,6,2,4,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",baja,circuito_probable_sin_ingreso+punto_fuerte,missing_ingreso_frontal,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,SECUENCIA_NO_CONCLUYENTE,false,0,true,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,33.3,incompleto_revision,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,SAN_LORENZO,true,false,SIN_PUNTO,,UNKNOWN,UNKNOWN,,,1,true,false,INVALID_ROUTE,2026-06-22T08:14:46.33467-03:00,1-S7,INVALID_ROUTE_DURING_JOURNEY
b91b2ded-f7d5-4259-afc9-03433c2e29e1__cycle_1,,,incompleto_revision,Incompleto en revisión,COMPLETO,Completo,,6,RicIngCamFrente>RicPreIngInFr>RicCal06>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S0>2-S1>2-S2>2-S3>1-S0>1-S7,INGRESO>PREINGRESO>CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,true,ingreso_y_preingreso,true,egreso,true,true,false,false,CIRCUITO_SAN_LORENZO,4,4,0,100,Coinciden 4 de 4 puntos esperados del circuito.,alta,ok,missing_ingreso_frontal,INCOMPLETO,VALIDO,SECUENCIA_OPERATIVA_RECONSTRUIDA,,SECUENCIA_NO_CONCLUYENTE,false,80,true,true,true,SL_BALANZA_INGRESO|SL_CALADA|SL_ENLACE|SL_DESCARGA|SL_BALANZA_SALIDA,R7,R7,Ricardone → San Lorenzo,CIRCUITO_R7_MIXTO,54.5,incompleto_revision,COMPLETOS,SECUENCIA_OPERATIVA_RECONSTRUIDA,,MIXTO,SAN_LORENZO,true,false,R7,,UNKNOWN,UNKNOWN,,,0,false,false,,,,NONE
d9f34568-8330-4fef-9828-eb9d65ccff37,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,4,RicCal06>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S2>2-S3>1-S0>1-S7,CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,false,sin_ingreso,true,egreso,true,true,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,6,2,4,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",baja,circuito_probable_sin_ingreso+punto_fuerte,missing_ingreso_frontal,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,SECUENCIA_NO_CONCLUYENTE,false,0,true,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,33.3,incompleto_revision,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,SAN_LORENZO,true,false,SIN_PUNTO,,UNKNOWN,UNKNOWN,,,1,true,false,INVALID_ROUTE,2026-06-22T06:31:46.101701-03:00,1-S7,INVALID_ROUTE_DURING_JOURNEY
02185acf-cc67-4cc6-84ed-d5c86e5fd287,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,4,RicCal06>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S2>2-S3>1-S0>1-S7,CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,false,sin_ingreso,true,egreso,true,true,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,6,2,4,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",baja,circuito_probable_sin_ingreso+punto_fuerte,missing_ingreso_frontal,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,SECUENCIA_NO_CONCLUYENTE,false,0,true,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,33.3,incompleto_revision,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,SAN_LORENZO,true,false,SIN_PUNTO,,UNKNOWN,UNKNOWN,,,1,true,false,INVALID_ROUTE,2026-06-22T06:51:21.167548-03:00,1-S7,INVALID_ROUTE_DURING_JOURNEY
79283373-5599-4e4c-b5ce-21bbe706add3,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,4,RicCal05>RicEgrCamFrente>SLZIngCamFrente>SLZSalidaC1Fte,2-S2>2-S3>1-S0>1-S7,CALADA>EGRESO>SL_INGRESO>SL_EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,false,sin_ingreso,true,egreso,true,true,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,6,2,4,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",baja,circuito_probable_sin_ingreso+punto_fuerte,missing_ingreso_frontal,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,SECUENCIA_NO_CONCLUYENTE,false,0,true,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,33.3,incompleto_revision,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,SAN_LORENZO,true,false,SIN_PUNTO,,UNKNOWN,UNKNOWN,,,1,true,false,INVALID_ROUTE,2026-06-22T06:52:21.480891-03:00,1-S7,INVALID_ROUTE_DURING_JOURNEY
4fa5949b-5477-4741-9716-f64645ecc0fc,,,incompleto_revision,Incompleto en revisión,INCOMPLETO,Incompleto,,2,RicCal06>RicEgrCamFrente,2-S2>2-S3,CALADA>EGRESO,RicIngCamFrente|RICARDONE_INGRESO_CAMIONES,0,false,false,sin_ingreso,true,egreso,false,true,false,false,DESPACHO_SIN_PUNTO_INSTRUMENTADO,6,2,4,33.3,"Coinciden 2 de 6 puntos esperados. Faltan ingreso, preingreso, balanza ingreso, balanza egreso.",muy_baja,circuito_probable_sin_ingreso,missing_ingreso_frontal,INCOMPLETO,NO_DIFERENCIABLE,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,EVENTOS_INSUFICIENTES,false,0,false,false,false,INGRESO|PREINGRESO|BALANZA_INGRESO|BALANZA_EGRESO,SIN_PUNTO,SIN_PUNTO,Sin punto instrumentado (sólidos),DESPACHO_SIN_PUNTO_INSTRUMENTADO,33.3,incompleto_revision,ANOMALIAS,NO_DIFERENCIABLE_SIN_PUNTO_FUERTE,,UNKNOWN,,true,false,SIN_PUNTO,,UNKNOWN,UNKNOWN,,,2,true,true,INVALID_JOURNEY_START|INVALID_ROUTE,2026-06-22T05:27:03.346065-03:00,2-S2,INVALID_JOURNEY_START_AT_NON_ENTRY_SECTOR
