planta,producto,circuito,tramo_operativo,sector,intervalo_inicio,intervalo_fin,stock_inicial,ocupacion_inicial,ingresos_intervalo,egresos_intervalo,ingresos_acumulados,egresos_acumulados,ocupacion_estimada,umbral_operativo,sobre_umbral,fecha,franja_horaria
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T00:00:00,2026-06-26T00:30:00,0,0,2,0,2,0,2,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T00:30:00,2026-06-26T01:00:00,0,0,0,0,2,0,2,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T01:00:00,2026-06-26T01:30:00,0,0,1,0,3,0,3,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T01:30:00,2026-06-26T02:00:00,0,0,0,0,3,0,3,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T02:00:00,2026-06-26T02:30:00,0,0,0,0,3,0,3,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T02:30:00,2026-06-26T03:00:00,0,0,0,0,3,0,3,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T03:00:00,2026-06-26T03:30:00,0,0,0,0,3,0,3,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T03:30:00,2026-06-26T04:00:00,0,0,0,0,3,0,3,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T04:00:00,2026-06-26T04:30:00,0,0,0,1,3,1,2,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T04:30:00,2026-06-26T05:00:00,0,0,0,1,3,2,1,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T05:00:00,2026-06-26T05:30:00,0,0,0,1,3,3,0,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T05:30:00,2026-06-26T06:00:00,0,0,0,0,3,3,0,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T06:00:00,2026-06-26T06:30:00,0,0,0,0,3,3,0,,false,2026-06-26,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T06:30:00,2026-06-26T07:00:00,0,0,0,0,3,3,0,,false,2026-06-26,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T07:00:00,2026-06-26T07:30:00,0,0,0,0,3,3,0,,false,2026-06-26,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T07:30:00,2026-06-26T08:00:00,0,0,0,0,3,3,0,,false,2026-06-26,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T08:00:00,2026-06-26T08:30:00,0,0,0,0,3,3,0,,false,2026-06-26,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T08:30:00,2026-06-26T09:00:00,0,0,0,0,3,3,0,,false,2026-06-26,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T09:00:00,2026-06-26T09:30:00,0,0,0,0,3,3,0,,false,2026-06-26,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T09:30:00,2026-06-26T10:00:00,0,0,0,0,3,3,0,,false,2026-06-26,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T10:00:00,2026-06-26T10:30:00,0,0,0,0,3,3,0,,false,2026-06-26,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T10:30:00,2026-06-26T11:00:00,0,0,0,0,3,3,0,,false,2026-06-26,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T11:00:00,2026-06-26T11:30:00,0,0,0,0,3,3,0,,false,2026-06-26,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T11:30:00,2026-06-26T12:00:00,0,0,0,0,3,3,0,,false,2026-06-26,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T12:00:00,2026-06-26T12:30:00,0,0,0,0,3,3,0,,false,2026-06-26,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T12:30:00,2026-06-26T13:00:00,0,0,1,0,4,3,1,,false,2026-06-26,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T13:00:00,2026-06-26T13:30:00,0,0,0,0,4,3,1,,false,2026-06-26,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T13:30:00,2026-06-26T14:00:00,0,0,0,0,4,3,1,,false,2026-06-26,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T14:00:00,2026-06-26T14:30:00,0,0,1,1,5,4,1,,false,2026-06-26,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T14:30:00,2026-06-26T15:00:00,0,0,0,0,5,4,1,,false,2026-06-26,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T15:00:00,2026-06-26T15:30:00,0,0,0,0,5,4,1,,false,2026-06-26,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T15:30:00,2026-06-26T16:00:00,0,0,0,1,5,5,0,,false,2026-06-26,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T16:00:00,2026-06-26T16:30:00,0,0,0,0,5,5,0,,false,2026-06-26,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T16:30:00,2026-06-26T17:00:00,0,0,0,0,5,5,0,,false,2026-06-26,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T17:00:00,2026-06-26T17:30:00,0,0,2,0,7,5,2,,false,2026-06-26,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T17:30:00,2026-06-26T18:00:00,0,0,0,0,7,5,2,,false,2026-06-26,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T18:00:00,2026-06-26T18:30:00,0,0,0,0,7,5,2,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T18:30:00,2026-06-26T19:00:00,0,0,0,0,7,5,2,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T19:00:00,2026-06-26T19:30:00,0,0,2,1,9,6,3,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T19:30:00,2026-06-26T20:00:00,0,0,0,0,9,6,3,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T20:00:00,2026-06-26T20:30:00,0,0,1,1,10,7,3,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T20:30:00,2026-06-26T21:00:00,0,0,1,0,11,7,4,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T21:00:00,2026-06-26T21:30:00,0,0,0,1,11,8,3,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T21:30:00,2026-06-26T22:00:00,0,0,0,0,11,8,3,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T22:00:00,2026-06-26T22:30:00,0,0,4,0,15,8,7,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T22:30:00,2026-06-26T23:00:00,0,0,0,1,15,9,6,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T23:00:00,2026-06-26T23:30:00,0,0,0,0,15,9,6,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-26T23:30:00,2026-06-27T00:00:00,0,0,0,1,15,10,5,,false,2026-06-26,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T00:00:00,2026-06-27T00:30:00,0,0,1,0,16,10,6,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T00:30:00,2026-06-27T01:00:00,0,0,0,1,16,11,5,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T01:00:00,2026-06-27T01:30:00,0,0,2,1,18,12,6,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T01:30:00,2026-06-27T02:00:00,0,0,0,0,18,12,6,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T02:00:00,2026-06-27T02:30:00,0,0,0,1,18,13,5,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T02:30:00,2026-06-27T03:00:00,0,0,0,1,18,14,4,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T03:00:00,2026-06-27T03:30:00,0,0,0,0,18,14,4,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T03:30:00,2026-06-27T04:00:00,0,0,0,1,18,15,3,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T04:00:00,2026-06-27T04:30:00,0,0,0,0,18,15,3,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T04:30:00,2026-06-27T05:00:00,0,0,0,1,18,16,2,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T05:00:00,2026-06-27T05:30:00,0,0,0,1,18,17,1,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T05:30:00,2026-06-27T06:00:00,0,0,0,0,18,17,1,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T06:00:00,2026-06-27T06:30:00,0,0,0,1,18,18,0,,false,2026-06-27,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T06:30:00,2026-06-27T07:00:00,0,0,0,0,18,18,0,,false,2026-06-27,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T07:00:00,2026-06-27T07:30:00,0,0,0,0,18,18,0,,false,2026-06-27,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T07:30:00,2026-06-27T08:00:00,0,0,0,0,18,18,0,,false,2026-06-27,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T08:00:00,2026-06-27T08:30:00,0,0,0,0,18,18,0,,false,2026-06-27,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T08:30:00,2026-06-27T09:00:00,0,0,0,0,18,18,0,,false,2026-06-27,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T09:00:00,2026-06-27T09:30:00,0,0,0,0,18,18,0,,false,2026-06-27,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T09:30:00,2026-06-27T10:00:00,0,0,0,0,18,18,0,,false,2026-06-27,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T10:00:00,2026-06-27T10:30:00,0,0,0,0,18,18,0,,false,2026-06-27,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T10:30:00,2026-06-27T11:00:00,0,0,0,0,18,18,0,,false,2026-06-27,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T11:00:00,2026-06-27T11:30:00,0,0,0,0,18,18,0,,false,2026-06-27,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T11:30:00,2026-06-27T12:00:00,0,0,1,0,19,18,1,,false,2026-06-27,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T12:00:00,2026-06-27T12:30:00,0,0,0,0,19,18,1,,false,2026-06-27,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T12:30:00,2026-06-27T13:00:00,0,0,0,0,19,18,1,,false,2026-06-27,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T13:00:00,2026-06-27T13:30:00,0,0,0,0,19,18,1,,false,2026-06-27,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T13:30:00,2026-06-27T14:00:00,0,0,0,0,19,18,1,,false,2026-06-27,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T14:00:00,2026-06-27T14:30:00,0,0,1,0,20,18,2,,false,2026-06-27,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T14:30:00,2026-06-27T15:00:00,0,0,0,0,20,18,2,,false,2026-06-27,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T15:00:00,2026-06-27T15:30:00,0,0,0,1,20,19,1,,false,2026-06-27,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T15:30:00,2026-06-27T16:00:00,0,0,0,0,20,19,1,,false,2026-06-27,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T16:00:00,2026-06-27T16:30:00,0,0,1,0,21,19,2,,false,2026-06-27,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T16:30:00,2026-06-27T17:00:00,0,0,0,0,21,19,2,,false,2026-06-27,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T17:00:00,2026-06-27T17:30:00,0,0,0,0,21,19,2,,false,2026-06-27,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T17:30:00,2026-06-27T18:00:00,0,0,0,0,21,19,2,,false,2026-06-27,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T18:00:00,2026-06-27T18:30:00,0,0,1,1,22,20,2,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T18:30:00,2026-06-27T19:00:00,0,0,2,1,24,21,3,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T19:00:00,2026-06-27T19:30:00,0,0,0,0,24,21,3,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T19:30:00,2026-06-27T20:00:00,0,0,1,0,25,21,4,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T20:00:00,2026-06-27T20:30:00,0,0,0,0,25,21,4,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T20:30:00,2026-06-27T21:00:00,0,0,0,1,25,22,3,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T21:00:00,2026-06-27T21:30:00,0,0,0,0,25,22,3,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T21:30:00,2026-06-27T22:00:00,0,0,0,1,25,23,2,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T22:00:00,2026-06-27T22:30:00,0,0,0,0,25,23,2,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T22:30:00,2026-06-27T23:00:00,0,0,0,1,25,24,1,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T23:00:00,2026-06-27T23:30:00,0,0,0,0,25,24,1,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-27T23:30:00,2026-06-28T00:00:00,0,0,1,0,26,24,2,,false,2026-06-27,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T00:00:00,2026-06-28T00:30:00,0,0,0,0,26,24,2,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T00:30:00,2026-06-28T01:00:00,0,0,0,0,26,24,2,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T01:00:00,2026-06-28T01:30:00,0,0,0,0,26,24,2,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T01:30:00,2026-06-28T02:00:00,0,0,0,1,26,25,1,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T02:00:00,2026-06-28T02:30:00,0,0,0,0,26,25,1,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T02:30:00,2026-06-28T03:00:00,0,0,0,0,26,25,1,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T03:00:00,2026-06-28T03:30:00,0,0,0,0,26,25,1,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T03:30:00,2026-06-28T04:00:00,0,0,0,0,26,25,1,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T04:00:00,2026-06-28T04:30:00,0,0,0,0,26,25,1,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T04:30:00,2026-06-28T05:00:00,0,0,1,0,27,25,2,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T05:00:00,2026-06-28T05:30:00,0,0,0,0,27,25,2,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T05:30:00,2026-06-28T06:00:00,0,0,0,1,27,26,1,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T06:00:00,2026-06-28T06:30:00,0,0,0,0,27,26,1,,false,2026-06-28,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T06:30:00,2026-06-28T07:00:00,0,0,0,0,27,26,1,,false,2026-06-28,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T07:00:00,2026-06-28T07:30:00,0,0,0,0,27,26,1,,false,2026-06-28,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T07:30:00,2026-06-28T08:00:00,0,0,0,0,27,26,1,,false,2026-06-28,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T08:00:00,2026-06-28T08:30:00,0,0,0,0,27,26,1,,false,2026-06-28,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T08:30:00,2026-06-28T09:00:00,0,0,0,1,27,27,0,,false,2026-06-28,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T09:00:00,2026-06-28T09:30:00,0,0,0,0,27,27,0,,false,2026-06-28,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T09:30:00,2026-06-28T10:00:00,0,0,0,0,27,27,0,,false,2026-06-28,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T10:00:00,2026-06-28T10:30:00,0,0,1,0,28,27,1,,false,2026-06-28,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T10:30:00,2026-06-28T11:00:00,0,0,0,0,28,27,1,,false,2026-06-28,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T11:00:00,2026-06-28T11:30:00,0,0,0,0,28,27,1,,false,2026-06-28,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T11:30:00,2026-06-28T12:00:00,0,0,0,0,28,27,1,,false,2026-06-28,Mañana
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T12:00:00,2026-06-28T12:30:00,0,0,0,0,28,27,1,,false,2026-06-28,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T12:30:00,2026-06-28T13:00:00,0,0,1,1,29,28,1,,false,2026-06-28,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T13:00:00,2026-06-28T13:30:00,0,0,0,0,29,28,1,,false,2026-06-28,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T13:30:00,2026-06-28T14:00:00,0,0,0,0,29,28,1,,false,2026-06-28,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T14:00:00,2026-06-28T14:30:00,0,0,0,0,29,28,1,,false,2026-06-28,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T14:30:00,2026-06-28T15:00:00,0,0,0,1,29,29,0,,false,2026-06-28,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T15:00:00,2026-06-28T15:30:00,0,0,0,0,29,29,0,,false,2026-06-28,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T15:30:00,2026-06-28T16:00:00,0,0,0,0,29,29,0,,false,2026-06-28,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T16:00:00,2026-06-28T16:30:00,0,0,0,0,29,29,0,,false,2026-06-28,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T16:30:00,2026-06-28T17:00:00,0,0,0,0,29,29,0,,false,2026-06-28,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T17:00:00,2026-06-28T17:30:00,0,0,0,0,29,29,0,,false,2026-06-28,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T17:30:00,2026-06-28T18:00:00,0,0,0,0,29,29,0,,false,2026-06-28,Tarde
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T18:00:00,2026-06-28T18:30:00,0,0,0,0,29,29,0,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T18:30:00,2026-06-28T19:00:00,0,0,0,0,29,29,0,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T19:00:00,2026-06-28T19:30:00,0,0,1,0,30,29,1,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T19:30:00,2026-06-28T20:00:00,0,0,0,0,30,29,1,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T20:00:00,2026-06-28T20:30:00,0,0,0,0,30,29,1,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T20:30:00,2026-06-28T21:00:00,0,0,0,0,30,29,1,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T21:00:00,2026-06-28T21:30:00,0,0,0,1,30,30,0,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T21:30:00,2026-06-28T22:00:00,0,0,1,0,31,30,1,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T22:00:00,2026-06-28T22:30:00,0,0,3,0,34,30,4,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T22:30:00,2026-06-28T23:00:00,0,0,0,0,34,30,4,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T23:00:00,2026-06-28T23:30:00,0,0,0,0,34,30,4,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-28T23:30:00,2026-06-29T00:00:00,0,0,1,0,35,30,5,,false,2026-06-28,Noche
RICARDONE,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T00:00:00,2026-06-29T00:30:00,0,0,2,1,37,31,6,,false,2026-06-29,Noche
